100,200,300,1
110,210,310,1
120,220,320,1
130,230,330,1
140,240,340,1
150,250,350,1
160,260,360,1
170,270,370,1
180,280,380,1
190,290,390,1
500,600,700,2
510,610,710,2
520,620,720,2
530,630,730,2
540,640,740,2
550,650,750,2
560,660,760,2
570,670,770,2
580,680,780,2
590,690,790,2
800,900,1000,3
810,910,1010,3
820,920,1020,3
830,930,1030,3
840,940,1040,3
850,950,1050,3
860,960,1060,3
870,970,1070,3
880,980,1080,3
890,990,1090,3
1500,1600,1700,4
1510,1610,1710,4
1520,1620,1720,4
1530,1630,1730,4
1540,1640,1740,4
1550,1650,1750,4
1560,1660,1760,4
1570,1670,1770,4
1580,1680,1780,4
1590,1690,1790,4
1900,2000,2100,5
1910,2010,2110,5
1920,2020,2120,5
1930,2030,2130,5
1940,2040,2140,5
1950,2050,2150,5
1960,2060,2160,5
1970,2070,2170,5
1980,2080,2180,5
1990,2090,2190,5
2400,2500,2600,6
2410,2510,2610,6
2420,2520,2620,6
2430,2530,2630,6
2440,2540,2640,6
2450,2550,2650,6
2460,2560,2660,6
2470,2570,2670,6
2480,2580,2680,6
2490,2590,2690,6
3000,3100,3200,7
3010,3110,3210,7
3020,3120,3220,7
3030,3130,3230,7
3040,3140,3240,7
3050,3150,3250,7
3060,3160,3260,7
3070,3170,3270,7

